IC,OC,FS,KS,STR,TYP,RP,IDX,APD
1,64,572,3,3,1,1,-1,0
64,64,570,3,3,1,2,-1,0
64,128,284,3,3,1,1,-1,0
128,128,282,3,3,1,2,-1,0
128,256,140,3,3,1,1,-1,0
256,256,138,3,3,1,2,-1,0
256,512,68,3,3,1,1,-1,0
512,512,66,3,3,1,2,-1,0
512,1024,32,3,3,1,1,-1,0
1024,1024,30,3,3,1,1,-1,0
1024,512,28,2,2,5,0,-1,0
512,1024,56,1,1,1,0,-1,-4
1024,512,56,3,3,1,1,-1,0
512,512,54,3,3,1,1,-1,0
512,256,52,2,2,5,0,-1,0
256,512,104,1,1,1,0,-1,-9
512,256,104,3,3,1,1,-1,0
256,256,102,3,3,1,1,-1,0
256,128,100,2,2,5,0,-1,0
128,256,200,1,1,1,0,-1,-14
256,128,200,3,3,1,1,-1,0
128,128,198,3,3,1,1,-1,0
128,64,196,2,2,5,0,-1,0
64,128,392,1,1,1,0,-1,-19
128,64,392,3,3,1,1,-1,0
64,64,390,3,3,1,1,-1,0
64,2,388,1,1,1,0,-1,0
