O,I,F,K,S,T,R,A
64,3,224,7,1,1,1,0
128,64,56,1,1,1,1,0
128,128,56,3,1,1,1,0
256,128,56,1,1,1,1,0
256,64,56,1,1,1,1,0
128,256,56,1,1,1,1,0
128,128,56,3,1,1,1,0
256,128,56,1,1,1,1,0
128,256,56,1,1,1,1,0
128,128,56,3,1,1,1,0
256,128,56,1,1,1,1,0
256,256,56,1,1,1,1,0
256,256,56,3,1,1,1,0
512,256,28,1,1,1,1,0
512,256,56,1,1,1,1,0
256,512,28,1,1,1,1,0
256,256,28,3,1,1,1,0
512,256,28,1,1,1,1,0
256,512,28,1,1,1,1,0
256,256,28,3,1,1,1,0
512,256,28,1,1,1,1,0
256,512,28,1,1,1,1,0
256,256,28,3,1,1,1,0
512,256,28,1,1,1,1,0
512,512,28,1,1,1,1,0
512,512,28,3,1,1,1,0
1024,512,14,1,1,1,1,0
1024,512,28,1,1,1,1,0
512,1024,14,1,1,1,1,0
512,512,14,3,1,1,1,0
1024,512,14,1,1,1,1,0
512,1024,14,1,1,1,1,0
512,512,14,3,1,1,1,0
1024,512,14,1,1,1,1,0
512,1024,14,1,1,1,1,0
512,512,14,3,1,1,1,0
1024,512,14,1,1,1,1,0
512,1024,14,1,1,1,1,0
512,512,14,3,1,1,1,0
1024,512,14,1,1,1,1,0
512,1024,14,1,1,1,1,0
512,512,14,3,1,1,1,0
1024,512,14,1,1,1,1,0
1024,1024,14,1,1,1,1,0
1024,1024,14,3,1,1,1,0
2048,1024,7,1,1,1,1,0
2048,1024,14,1,1,1,1,0
1024,2048,7,1,1,1,1,0
1024,1024,7,3,1,1,1,0
2048,1024,7,1,1,1,1,0
1024,2048,7,1,1,1,1,0
1024,1024,7,3,1,1,1,0
2048,1024,7,1,1,1,1,0
