DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA area,RRAM area,restraint
1,192 4,4 12,3,5,62412974995.50001,458887003275173.06,1214280000000.0,225177303.13594675,fail
2,192 8,4 8,3,5,62412974995.50001,460635722290876.25,2428530000000.0,225177303.13594675,fail
3,192 4,5 12,3,5,62412974995.50001,458887003275173.06,1214280000000.0,225177303.13594675,fail
4,192 8,5 8,3,5,62412974995.50001,460635722290876.25,2428530000000.0,225177303.13594675,fail
5,192 4,6 12,3,5,62412974995.50001,458887003275173.06,1214280000000.0,225177303.13594675,fail
6,192 8,6 8,3,5,62412974995.50001,460635722290876.25,2428530000000.0,225177303.13594675,fail
7,192 4,7 12,3,5,62412974995.50001,458887003275173.06,1214280000000.0,225177303.13594675,fail
8,192 8,7 8,3,5,62412974995.50001,460635722290876.25,2428530000000.0,225177303.13594675,fail
9,192 4,8 12,3,5,62412974995.50001,458887003275173.06,1214280000000.0,225177303.13594675,fail
10,192 8,8 8,3,5,62412974995.50001,460635722290876.25,2428530000000.0,225177303.13594675,fail
11,192 4,9 12,2,6,6081821542.5,479055854435757.0,1214280000000.0,1378085095.1919942,fail
12,192 8,9 8,2,6,6081821542.5,481871103214334.75,2428530000000.0,1378085095.1919942,fail
13,192 4,10 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
14,192 8,10 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
15,192 4,11 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
16,192 8,11 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
17,192 4,12 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
18,192 8,12 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
19,192 4,13 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
20,192 8,13 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
21,192 4,14 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
22,192 8,14 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
23,192 4,15 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
24,192 8,15 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
25,192 4,16 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
26,192 8,16 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
27,192 4,17 12,0,8,0.0,487949006221968.0,1214280000000.0,1738368780.209509,fail
28,192 8,17 8,0,8,0.0,492020294807443.3,2428530000000.0,1738368780.209509,fail
29,704 4,4 12,3,5,15562424099.25,458887003275173.06,4419630000000.0,225177303.13594675,fail
30,704 8,4 8,3,5,15562424099.25,460635722290876.25,8839010000000.0,225177303.13594675,fail
31,704 4,5 12,3,5,15562424099.25,458887003275173.06,4419630000000.0,225177303.13594675,fail
32,704 8,5 8,3,5,15562424099.25,460635722290876.25,8839010000000.0,225177303.13594675,fail
33,704 4,6 12,3,5,15562424099.25,458887003275173.06,4419630000000.0,225177303.13594675,fail
34,704 8,6 8,3,5,15562424099.25,460635722290876.25,8839010000000.0,225177303.13594675,fail
35,704 4,7 12,3,5,15562424099.25,458887003275173.06,4419630000000.0,225177303.13594675,fail
36,704 8,7 8,3,5,15562424099.25,460635722290876.25,8839010000000.0,225177303.13594675,fail
37,704 4,8 12,3,5,15562424099.25,458887003275173.06,4419630000000.0,225177303.13594675,fail
38,704 8,8 8,3,5,15562424099.25,460635722290876.25,8839010000000.0,225177303.13594675,fail
39,704 4,9 12,2,6,1548331262.25,479055854435757.0,4419630000000.0,1378085095.1919942,fail
40,704 8,9 8,2,6,1548331262.25,481871103214334.75,8839010000000.0,1378085095.1919942,fail
41,704 4,10 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
42,704 8,10 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
43,704 4,11 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
44,704 8,11 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
45,704 4,12 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
46,704 8,12 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
47,704 4,13 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
48,704 8,13 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
49,704 4,14 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
50,704 8,14 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
51,704 4,15 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
52,704 8,15 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
53,704 4,16 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
54,704 8,16 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
55,704 4,17 12,0,8,0.0,487949006221968.0,4419630000000.0,1738368780.209509,fail
56,704 8,17 8,0,8,0.0,492020294807443.3,8839010000000.0,1738368780.209509,fail
